model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,BASN_to_CANO,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,100,100
USENSYS,BASN_to_CASO,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,5920,5920
USENSYS,BASN_to_NWPP,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3350,3350
USENSYS,BASN_to_RMRG,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3750,3750
USENSYS,BASN_to_SRSG,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,5385,5385
USENSYS,CANO_to_CASO,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3675,3675
USENSYS,CANO_to_NWPP,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3675,3675
USENSYS,CASO_to_NWPP,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,2858,2858
USENSYS,CASO_to_SRSG,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,4354,4354
USENSYS,FRCC_to_SRSE,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3600,3600
USENSYS,ISNE_to_NYCW,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,760,760
USENSYS,ISNE_to_NYUP,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1400,1400
USENSYS,MISC_to_MISS,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1039,1039
USENSYS,MISC_to_MISW,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1655,1655
USENSYS,MISC_to_PJMC,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,5244,5244
USENSYS,MISC_to_PJMW,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,5441,5441
USENSYS,MISC_to_SPPC,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1430,1430
USENSYS,MISC_to_SPPS,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1172,1172
USENSYS,MISC_to_SRCE,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3745,3745
USENSYS,MISE_to_PJMW,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,2662,2662
USENSYS,MISS_to_SPPS,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1697,1697
USENSYS,MISS_to_SRCE,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,4092,4092
USENSYS,MISS_to_SRSE,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,891,891
USENSYS,MISW_to_NWPP,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,200,200
USENSYS,MISW_to_PJMC,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3200,3200
USENSYS,MISW_to_SPPN,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,5512,5512
USENSYS,NWPP_to_RMRG,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,400,400
USENSYS,NYCW_to_NYUP,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,2489,2489
USENSYS,NYCW_to_PJME,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,660,660
USENSYS,NYUP_to_PJME,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1255,1255
USENSYS,PJMC_to_PJMW,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,980,980
USENSYS,PJMD_to_PJME,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1200,1200
USENSYS,PJMD_to_PJMW,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,6930,6930
USENSYS,PJMD_to_SRCA,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1000,1000
USENSYS,PJME_to_PJMW,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3885,3885
USENSYS,PJMW_to_SRCA,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1219,1219
USENSYS,PJMW_to_SRCE,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3333,3333
USENSYS,RMRG_to_SPPC,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,210,1492
USENSYS,RMRG_to_SPPN,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,410,2784
USENSYS,RMRG_to_SRSG,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,614,614
USENSYS,SPPC_to_SPPN,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1433,3560
USENSYS,SPPC_to_SPPS,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3372,3372
USENSYS,SPPS_to_SRSG,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1010,1010
USENSYS,SPPS_to_TRE,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,600,600
USENSYS,SPPS_to_TRE_WEST,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,220,7767
USENSYS,SRCA_to_SRCE,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,216,216
USENSYS,SRCA_to_SRSE,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1400,1400
USENSYS,SRCE_to_SRSE,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,3196,3196
USENSYS,TRE_to_TRE_WEST,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,16529,16529
USENSYS,SPPN_to_SPPS,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,,1512
USENSYS,BASN_to_CANO,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,100,100
USENSYS,BASN_to_CASO,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,5920,5920
USENSYS,BASN_to_NWPP,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3350,3350
USENSYS,BASN_to_RMRG,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3750,3750
USENSYS,BASN_to_SRSG,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,5385,5385
USENSYS,CANO_to_CASO,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3675,3675
USENSYS,CANO_to_NWPP,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3675,3675
USENSYS,CASO_to_NWPP,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,2858,2858
USENSYS,CASO_to_SRSG,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,4354,4354
USENSYS,FRCC_to_SRSE,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3600,3600
USENSYS,ISNE_to_NYCW,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,760,760
USENSYS,ISNE_to_NYUP,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1400,1400
USENSYS,MISC_to_MISS,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1039,1039
USENSYS,MISC_to_MISW,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1655,1655
USENSYS,MISC_to_PJMC,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,5244,5244
USENSYS,MISC_to_PJMW,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,5441,5441
USENSYS,MISC_to_SPPC,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1430,1430
USENSYS,MISC_to_SPPS,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1172,1172
USENSYS,MISC_to_SRCE,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3745,3745
USENSYS,MISE_to_PJMW,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,2662,2662
USENSYS,MISS_to_SPPS,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1697,4405
USENSYS,MISS_to_SRCE,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,4092,4092
USENSYS,MISS_to_SRSE,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,891,891
USENSYS,MISW_to_NWPP,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,200,200
USENSYS,MISW_to_PJMC,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3200,3200
USENSYS,MISW_to_SPPN,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,5512,5512
USENSYS,NWPP_to_RMRG,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,400,400
USENSYS,NYCW_to_NYUP,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,2489,2489
USENSYS,NYCW_to_PJME,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,660,1002
USENSYS,NYUP_to_PJME,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1255,1255
USENSYS,PJMC_to_PJMW,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,980,980
USENSYS,PJMD_to_PJME,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1200,7166
USENSYS,PJMD_to_PJMW,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,6930,6930
USENSYS,PJMD_to_SRCA,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1000,1000
USENSYS,PJME_to_PJMW,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3885,3885
USENSYS,PJMW_to_SRCA,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1219,1219
USENSYS,PJMW_to_SRCE,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3333,3333
USENSYS,RMRG_to_SPPC,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1492,3125
USENSYS,RMRG_to_SPPN,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,2784,4240
USENSYS,RMRG_to_SRSG,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,614,614
USENSYS,SPPC_to_SPPN,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3560,3560
USENSYS,SPPC_to_SPPS,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3372,3372
USENSYS,SPPN_to_SPPS,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1512,2034
USENSYS,SPPS_to_SRSG,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1010,1010
USENSYS,SPPS_to_TRE,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,600,600
USENSYS,SPPS_to_TRE_WEST,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,7768,7767
USENSYS,SRCA_to_SRCE,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,216,216
USENSYS,SRCA_to_SRSE,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1400,1400
USENSYS,SRCE_to_SRSE,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,3196,3196
USENSYS,TRE_to_TRE_WEST,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,16529,16529
USENSYS,BASN_to_CANO,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,100,100
USENSYS,BASN_to_CASO,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,5920,5920
USENSYS,BASN_to_NWPP,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3350,3350
USENSYS,BASN_to_RMRG,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3750,3750
USENSYS,BASN_to_SRSG,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,5385,5385
USENSYS,CANO_to_CASO,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3675,3675
USENSYS,CANO_to_NWPP,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3675,3675
USENSYS,CASO_to_NWPP,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,2858,2858
USENSYS,CASO_to_SRSG,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,4354,4354
USENSYS,FRCC_to_SRSE,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3600,3600
USENSYS,ISNE_to_NYCW,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,760,760
USENSYS,ISNE_to_NYUP,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1400,1400
USENSYS,MISC_to_MISS,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1039,1039
USENSYS,MISC_to_MISW,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1655,1655
USENSYS,MISC_to_PJMC,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,5244,5244
USENSYS,MISC_to_PJMW,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,5441,5441
USENSYS,MISC_to_SPPC,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1430,2166
USENSYS,MISC_to_SPPS,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1172,1172
USENSYS,MISC_to_SRCE,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3745,3745
USENSYS,MISE_to_PJMW,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,2662,2662
USENSYS,MISS_to_SPPS,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,4404,5666
USENSYS,MISS_to_SRCE,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,4092,4092
USENSYS,MISS_to_SRSE,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,891,891
USENSYS,MISW_to_NWPP,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,200,200
USENSYS,MISW_to_PJMC,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3200,3200
USENSYS,MISW_to_SPPN,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,5512,5512
USENSYS,NWPP_to_RMRG,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,400,400
USENSYS,NYCW_to_NYUP,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,2489,2489
USENSYS,NYCW_to_PJME,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1002,1002
USENSYS,NYUP_to_PJME,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1255,1255
USENSYS,PJMC_to_PJMW,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,980,980
USENSYS,PJMD_to_PJME,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,7166,9630
USENSYS,PJMD_to_PJMW,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,6930,6930
USENSYS,PJMD_to_SRCA,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1000,1000
USENSYS,PJME_to_PJMW,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3885,3885
USENSYS,PJMW_to_SRCA,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1219,1219
USENSYS,PJMW_to_SRCE,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3333,3333
USENSYS,RMRG_to_SPPC,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3125,3166
USENSYS,RMRG_to_SPPN,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,4240,4677
USENSYS,RMRG_to_SRSG,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,614,614
USENSYS,SPPC_to_SPPN,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3560,3560
USENSYS,SPPC_to_SPPS,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,3372,3372
USENSYS,SPPN_to_SPPS,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,2034,3816
USENSYS,SPPS_to_SRSG,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1010,1010
USENSYS,SPPS_to_TRE,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,600,600
USENSYS,SPPS_to_TRE_WEST,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,7768,7767
